Name,Link,UpcomingEvents,Place,Time
Zakk Sabbath - Zakk Wylde's Black Sabbath Cover Band,https://pittsburgh.events/tickets/zakk-sabbath/,1,Frank J. Pasquerilla Conference Center,"Nov 19, 2025 7:00 PM"
A Drag Queen Christmas,https://pittsburgh.events/event/a-drag-queen-christmas-pittsburgh-wednesday-november-19-2025-730-pm/,1,Byham Theater,"Nov 19, 2025 7:30 PM"
The American Ride - Toby Keith Tribute,https://pittsburgh.events/tickets/the-american-ride-toby-keith-tribute/,1,Palace Theatre - PA,"Nov 19, 2025 7:30 PM"
Southall,https://pittsburgh.events/tickets/read-southall/,1,Jergel's Rhythm Grille,"Nov 19, 2025 8:00 PM"
Sons of Legion,https://pittsburgh.events/tickets/sons-of-legion/,1,Thunderbird Cafe,"Nov 19, 2025 8:00 PM"
Macy Gray,https://pittsburgh.events/tickets/macy-gray/,1,Carnegie of Homestead Music Hall,"Nov 19, 2025 8:00 PM"
Whitechapel,https://pittsburgh.events/tickets/whitechapel/,1,Mr Small's Theatre,"Nov 20, 2025 6:55 PM"
Bearings,https://pittsburgh.events/tickets/bearings/,1,Preserving Underground,"Nov 20, 2025 7:00 PM"
Micah Tyler,https://pittsburgh.events/tickets/micah-tyler/,1,Impact Christian Church,"Nov 20, 2025 7:00 PM"
Ezra Ray Hart,https://pittsburgh.events/tickets/ezra-ray-hart/,1,Rivers Casino Event Center at The Rivers Casino - Pittsburgh,"Nov 20, 2025 7:00 PM"
Wednesday - Band,https://pittsburgh.events/tickets/wednesday-band/,1,Roxian Theatre,"Nov 20, 2025 7:00 PM"
Erin Kinsey,https://pittsburgh.events/tickets/erin-kinsey/,1,Crafthouse Stage & Grill,"Nov 20, 2025 7:00 PM"
Ian Bagg,https://pittsburgh.events/tickets/ian-bagg/,5,Pittsburgh Improv,"Nov 20, 2025 7:00 PM"
Emblem3,https://pittsburgh.events/tickets/emblem3/,1,Mr Small's Fun House,"Nov 20, 2025 7:00 PM"
Michael Carbonaro,https://pittsburgh.events/tickets/michael-carbonaro/,1,Carnegie of Homestead Music Hall,"Nov 20, 2025 7:00 PM"
The Ultimate Doors Experience - Doors Tribute,https://pittsburgh.events/tickets/the-ultimate-doors-experience-doors-tribute/,1,Palace Theatre - PA,"Nov 20, 2025 7:30 PM"
Saturdays At Your Place,https://pittsburgh.events/tickets/saturdays-at-your-place/,1,Thunderbird Cafe,"Nov 20, 2025 8:00 PM"
Cyclops,https://pittsburgh.events/tickets/cyclops/,1,Enclave - PA,"Nov 20, 2025 9:00 PM"
Candlelight: Tribute to Queen,https://pittsburgh.events/tickets/candlelight-a-tribute-to-queen/,1,Trinity Episcopal Cathedral - Pittsburgh,"Nov 21, 2025 6:30 PM"
Pittsburgh Johnstown Mountain Cats,https://pittsburgh.events/event/pittsburgh-johnstown-mountain-cats-vs-ashland-university-eagles-johnstown-friday-november-21-2025-700-pm/,1,Pitt-Johnstown Sports Center,"Nov 21, 2025 7:00 PM"
Charlie Berens,https://pittsburgh.events/tickets/charlie-berens/,1,Carnegie of Homestead Music Hall,"Nov 21, 2025 7:00 PM"
The Emo Night Tour,https://pittsburgh.events/tickets/the-emo-night-tour/,1,Jergel's Rhythm Grille,"Nov 21, 2025 7:30 PM"
Warren Zeiders,https://pittsburgh.events/tickets/warren-zeiders/,1,Covelli Centre - Youngstown,"Nov 21, 2025 7:30 PM"
Avatar,https://pittsburgh.events/tickets/avatar/,1,Stage AE,"Nov 21, 2025 7:30 PM"
Nick Shoulders,https://pittsburgh.events/tickets/nick-shoulders/,1,Thunderbird Cafe,"Nov 21, 2025 8:00 PM"
Steve Martin,https://pittsburgh.events/tickets/steve-martin/,2,Benedum Center,"Nov 21, 2025 8:00 PM"
Blondshell,https://pittsburgh.events/tickets/blondshell/,1,Mr Small's Theatre,"Nov 21, 2025 8:30 PM"
Omnium Circus: I'm Possible,https://pittsburgh.events/tickets/omnium-circus-im-possible/,1,Byham Theater,"Nov 22, 2025 2:00 PM"
Hunks The Show,https://pittsburgh.events/tickets/hunks-the-show/,2,Live! Casino Pittsburgh,"Nov 22, 2025 7:00 PM"
The Outlaws,https://pittsburgh.events/tickets/the-outlaws/,1,Palace Theatre - PA,"Nov 22, 2025 7:30 PM"
We May Be Right - Billy Joel Tribute,https://pittsburgh.events/tickets/we-may-be-right-billy-joel-tribute/,1,Wheeling Island Showroom,"Nov 22, 2025 8:00 PM"
The Smalls Waltz,https://pittsburgh.events/tickets/the-smalls-waltz/,1,Mr Small's Theatre,"Nov 22, 2025 8:00 PM"
Cut Copy,https://pittsburgh.events/tickets/cut-copy/,1,Roxian Theatre,"Nov 22, 2025 8:00 PM"
Tauk,https://pittsburgh.events/tickets/tauk/,1,Thunderbird Cafe,"Nov 22, 2025 8:00 PM"
Jimmy Failla,https://pittsburgh.events/tickets/jimmy-failla/,1,Carnegie of Homestead Music Hall,"Nov 22, 2025 8:00 PM"
Rene Vaca,https://pittsburgh.events/tickets/rene-vaca/,1,Roxian Theatre,"Nov 23, 2025 7:00 PM"
Elijah - Artist,https://pittsburgh.events/tickets/elijah-artist/,1,Crafthouse Stage & Grill,"Nov 23, 2025 7:00 PM"
